 1012 Version 10.0.2 STANDARDS TEXT MUST BE 60 CHARS OR LESS. S ref line number, s source line, number of entries
   22 00 1    0   22 S Use of obsolete language feature ( use = - ).               DERA 1,137 GJB 4.8.2.1 MISRA-C:1998 1
   23 00 1    0   23 S Procedure is not explicitly called in code analysed.        CAST 5.16.18 CMSE 1.2.10,7.1.2 CWE-2.11 561 CWE-3.4 561,1037 GJB 4.7.1.2 GJB_5369 4.7.1.2
   24 00 1    0   24 S Use of Noanalysis annotation.                               CMSE 10.2.1 GJB 4.10.2.1 GJB_5369 4.10.2.1
   25 00 1    0   25 S Null case in switch statement.                              BARR-C:2018 8.3.c CAST 5.3.5 CMSE 3.1.8 GJB 4.3.1.8 GJB_5369 4.3.1.8 GJB_8114 R-1-4-7
   26 00 1    0   26 S Loop control expression may not terminate loop.             BARR-C:2013 8.4.c BARR-C:2018 8.4.c CAST 5.11.3 CERT-C:2014 MEM05-C,MEM11-C CERT-C:2016 MEM05-C,MEM11-C CMSE 11.2.1 CWE-2.11 835 CWE-3.4 835 DERA 142 EADS-C 133 GJB 4.11.2.1 GJB_5369 4.11.2.1 JPL 2 RUNTIME LOOP SEC-Cv1 M1.9.2 SEC-Cv2 M1.9.2 SEC-Cv3 M1.9.2
   27 00 1    0   27 S Void procedure with return statement.                       CAST 5.9.2 CMSE 9.1.2 CWE-2.11 398 CWE-3.4 1127 DERA 84 EADS-C 112 GJB 4.9.1.2 GJB_5369 4.9.1.2 GJB_8114 R-1-7-8 MISRA-C:1998 84 NUREG_CR-6463 1.2.1
   28 00 0    0   28 S Not used for 'c'.
   29 00 1    0   29 S Use of += or -= operators found.                            CAST 5.8.1 CMSE 8.2.1 GJB 4.8.2.1 GJB_5369 4.8.2.1
   30 00 1    0   30 S Deprecated usage of ++ or -- operators found.               CERT-C:2008 EXP30-C,EXP31-C,FIO41-C CERT-C:2014 EXP30-C,FIO41-C CERT-C:2016 EXP30-C,FIO41-C CMSE 8.2.2 DERA 33,46 FSB582-C 3.10.1,3.10.2 GJB 4.8.2.2 GJB_5369 4.8.2.2 GJB_8114 R-1-6-5 MISRA-AC 12.2,12.13 MISRA-C:1998 33,46 MISRA-C:2004 12.2,12.13 MISRA-C:2012(Ed 3 Rev 1) R.13.1,R.13.2,R.13.3 MISRA-C:2012(Ed 3) R.13.1,R.13.2,R.13.3 MISRA-C:2012/AMD1 R.13.1,R.13.2,R.13.3 MISRA-C:2012/AMD1/TC1 R.13.1,R.13.2,R.13.3 MISRA-C:2012/AMD2 R.13.1,R.13.2,R.13.3 MISRA-C:2012/TC1 R.13.1,R.13.2,R.13.3 NUREG_CR-6463 1.2.5.9,1.2.8.2 SEC-Cv1 M3.2.2,R3.6.1,R3.6.2 SEC-Cv2 M3.2.2,R3.6.1,R3.6.2 SEC-Cv3 M3.2.2,R3.6.1,R3.6.2
   31 00 1    0   31 S Use of break statement in loop.                             BARR-C:2013 1.7.e,8.5.a CMSE 11.2.2 DERA 58 EADS-C 120 GJB 4.11.2.2 GJB_5369 4.11.2.2 MISRA-C:1998 58
   32 00 1    0   32 S Use of continue statement.                                  BARR-C:2013 1.7.d,8.5.a BARR-C:2018 1.7.d CAST 5.8.2 CMSE 8.2.3 DERA 57 EADS-C 119 GJB 4.8.2.3 GJB_5369 4.8.2.3 GJB_8114 A-1-9-3 MISRA-AC 14.5 MISRA-C:1998 57 MISRA-C:2004 14.5 SEC-Cv1 M3.1.3
   33 00 1    0   33 S Use of ternary operator found.                              CAST 5.8.3 CMSE 8.2.4 EADS-C 134 GJB 4.8.2.4 GJB_5369 4.8.2.4 NUREG_CR-6463 4.1.6.2
   34 00 1    0   34 S No parameters declared in proc specification.               CAST 5.1.5 CMSE 1.1.6 GJB 4.1.1.6 GJB_5369 4.1.1.6 GJB_8114 R-1-1-13
   35 00 1    0   35 S Static procedure is not explicitly called in code analysed. CAST 5.7.2 CERT-C:2014 MSC06-C CERT-C:2016 MSC06-C CMSE 7.1.3 CWE-2.11 561 CWE-3.4 561,1037 GJB 4.7.1.3 GJB_5369 4.7.1.3 GJB_8114 R-1-7-13 MISRA-C:2012(Ed 3 Rev 1) R.2.1 MISRA-C:2012(Ed 3) R.2.1 MISRA-C:2012/AMD1 R.2.1 MISRA-C:2012/AMD1/TC1 R.2.1 MISRA-C:2012/AMD2 R.2.1 MISRA-C:2012/TC1 R.2.1 SEC-Cv1 M1.1.1 SEC-Cv2 M1.1.1 SEC-Cv3 M1.1.1
